Ticker,Exit Date,Entry Price,Exit Price,Gross PnL (%),Net PnL (%)
ABC,2023-08-15,15971.6412196446,13527.892836311,-15.300546448087427,-15.46986069806625
TCI,2023-08-15,7860.258,10829.6888,37.777777777777786,37.50235993114557
DCL,2023-08-15,22950.0,24350.0,6.1002178649237475,5.888123476388183
AFX,2023-08-15,8800.0,13900.0,57.95454545454546,57.63879423924404
TCD,2023-08-15,6938.9542793146,8190.2371644782,18.032729930124226,17.796782444007043
VEA,2023-08-15,26685.5075508055,27738.8828488637,3.9473684210529596,3.739577579631586
APF,2023-08-15,39414.4314199714,38704.558331095,-1.8010486598487425,-1.9973484126526269
PDV,2023-11-15,7914.938927766076,7232.1114812063,-8.627071576817565,-8.80972610639913
TCO,2023-11-15,4508.791020390137,6152.9861296008,36.466429731941616,36.19363327070838
PCH,2023-11-15,5259.5362867658,7525.1826872188,43.076923076923855,42.790912236190394
BAF,2023-11-15,13029.6195452108,15176.7126079656,16.47855530474019,16.24571461447585
BMC,2023-11-15,13674.1520299199,13234.4686849064,-3.215434083601274,-3.40890647923625
KMR,2023-11-15,4150.0,3590.0,-13.493975903614459,-13.666901489014519
HDM,2023-11-15,20452.1345368397,19391.6534867813,-5.185185185185419,-5.374720047383923
DAH,2024-02-15,4088.438117703897,4250.0,3.9516773311671733,3.743877876232307
HAH,2024-02-15,17194.7910205063,25569.5531470737,48.70522774356349,48.407965918988666
BKG,2024-02-15,4829.506418871366,4209.52402,-12.8373863724205,-13.01162448062155
HU4,2024-02-15,11602.716866486317,10393.937132594,-10.418074902644554,-10.597149215682737
DCL,2024-02-15,22850.0,24650.0,7.87746170678337,7.661814606919745
DTD,2024-02-15,15487.9139975691,18783.2148481157,21.276595744680733,21.034163769179134
KPF,2024-05-16,7226.556575259336,3360.0,-53.50482674551785,-53.59777062008953
KHG,2024-05-16,5559.1182003699,5640.0,1.454939375541945,1.2521309010281165
MBG,2024-05-16,5467.777927625581,4300.0,-21.357449828484455,-21.51465632557893
DPM,2024-05-16,14969.88590125432,17186.1686529606,14.804940841403342,14.57544570728761
DCM,2024-05-16,18472.7475209643,31441.3881715068,70.20417853827472,69.86394030031717
VIP,2024-05-16,8333.633132294552,10072.9565043731,20.871129607785477,20.62950815929416
TCD,2024-05-16,5892.256952862,6085.8596813132,3.2857142857146284,3.079246091240442
TAR,2024-05-16,9645.58248138601,5700.0,-40.90559060585686,-41.02372035976818
ST8,2024-05-16,11100.0,9110.0,-17.92792792792793,-18.091990041015514
BMC,2024-05-16,17411.4604625346,15916.5370894887,-8.585858585858585,-8.76859550022968
APF,2024-05-16,38845.8812793692,45244.0264312653,16.47058823529412,16.237763471205575
API,2024-05-16,5200.0,5500.0,5.769230769230769,5.557798024064901
HHP,2024-05-16,10140.8436,8676.05508,-14.444444444444446,-14.615470042756398
SAV,2024-05-16,10679.9613446269,10373.847802902,-2.866242038215849,-3.060412468924066
AFX,2024-08-15,9490.956230164293,7800.0,-17.81650014136691,-17.98078499865552
TVB,2024-08-15,8230.0,8660.0,5.224787363304982,5.01444296077964
HAR,2024-08-15,4510.0,3730.0,-17.29490022172949,-17.460227757518133
VNB,2024-08-15,13000.0,10400.0,-20.0,-20.159920039979998
BSR,2024-08-15,11597.1239458833,13619.1865826014,17.43589743589731,17.201143018234372
VRG,2024-11-15,23948.198447412058,19772.370991872,-17.436916871679397,-17.601960516113817
JVC,2024-11-15,3360.0,3100.0,-7.738095238095238,-7.922526831822169
KBC,2024-11-15,29691.129182207278,29350.0,-1.1489262672155403,-1.3465296130081992
