Ticker,Exit Date,Entry Price,Exit Price,Gross PnL (%),Net PnL (%)
LIX,2023-08-15,17574.3931944864,20546.5396036383,16.91180102926311,16.678094280578946
SGR,2023-08-15,13880.5131977925,23636.5310453838,70.28571428571428,69.94531305775685
NSC,2023-11-15,58475.666635121954,60661.59292527,3.738181051937123,3.530808376171141
LBM,2023-11-15,17409.209211728135,19044.99094163,9.396071412593976,9.177388611169501
VGC,2023-11-15,30668.5566187154,43765.1734614552,42.70372748728456,42.41846266472128
SBA,2023-11-15,19508.4003066734,20678.0688475446,5.995717344753695,5.783831852810169
CNT,2024-02-15,13850.198219554,12525.3966507271,-9.565217391304321,-9.745996566933881
SGR,2024-02-15,16141.0539185758,16749.9933,3.7726122748614617,3.5651707710636424
SCS,2024-02-15,50939.1053926237,57978.1382477135,13.818524689106718,13.591001401372374
VLB,2024-05-16,23560.132485300514,28241.2521531795,19.868817252193296,19.62919942660172
VOS,2024-05-16,10102.936890464192,14055.3518,39.12144510440675,38.84334126611711
BSR,2024-05-16,9788.309860982377,11597.1239458833,18.4793300435974,18.242489803630203
DGC,2024-05-16,47432.60658043363,117515.711445426,147.7530119415834,147.2577535468976
DPM,2024-05-16,15062.6609563963,17186.1686529606,14.097825760743573,13.869744150027463
DCM,2024-05-16,18472.7475209643,31441.3881715068,70.20417853827472,69.86394030031717
CSC,2024-05-16,21446.33526161915,20316.8003443512,-5.266796883891831,-5.456168604263842
CSV,2024-05-16,10376.425993203198,24151.0978441293,132.74967565854402,132.28440894058593
DDV,2024-05-16,7683.661584409475,16153.956421636,110.23773944460498,109.81747409838891
TMB,2024-05-16,52321.0054500875,62713.5339298994,19.86301369863014,19.623407474345033
CAP,2024-08-15,53670.0442905422,42970.5499303698,-19.935691318327976,-20.095739911394777
GHC,2024-08-15,25878.446429074,26053.8935235084,0.6779661016949127,0.4767107971438108
DRI,2024-08-15,11551.5252436553,8874.44459375,-23.175127036801413,-23.32869999624807
NET,2024-08-15,90409.580609274,80276.7194008916,-11.207729468599032,-11.385225261765248
TCL,2024-11-15,30031.0638598822,30260.6595039138,0.7645271746043998,0.5630988344252846
LBM,2024-11-15,19045.4098860026,23334.9166170843,22.522522522522696,22.277599938769548
SMB,2024-11-15,29742.1953765875,33148.263494508,11.45197277737504,11.229180228094942
THG,2024-11-15,27556.8178400299,28212.9325505068,2.3809523809523747,2.176292805977965
VGG,2024-11-15,36613.1273035749,39838.5694707946,8.809523809523823,8.592013517051024
QNS,2025-02-17,38762.9197173445,44236.5300465085,14.120737986397943,13.892610574131295
GHC,2025-02-17,26409.5256,29500.002,11.702127659574465,11.478835050559834
IJC,2025-02-17,10245.2784069037,11254.2830984927,9.848484848484839,9.628897672375942
DTD,2025-05-16,17090.94456766426,13945.7166859424,-18.402890895056625,-18.566003556935552
DPG,2025-05-16,21388.39868863354,33481.900648773,56.54234398840864,56.22941576454379
CNG,2025-05-16,27166.01006851058,27278.8273,0.4152881899289056,0.21455797865470072
CST,2025-05-16,17932.40924473053,14796.3514723176,-17.488212150492085,-17.65315325563852
LIX,2025-05-16,26779.359606058977,27708.636665496,3.4701242789494082,3.2632874488065817
HDG,2025-05-16,20105.49740899278,20005.4958192804,-0.4973843107589517,-0.6962900892481876
DP3,2025-05-16,51771.24456925689,50670.5469,-2.1260792133062005,-2.321729229871283
VRE,2025-05-16,17291.656524924852,23660.9485,36.83448121869762,36.56094902235841
LBM,2025-05-16,27361.1445387087,26103.1682744064,-4.597674130636613,-4.788383427726781
VHM,2025-08-15,22185.275008140245,45259.261,104.00585966770042,103.59805185227273
CTI,2025-08-15,15164.971248993666,24545.457,61.85627125161093,61.532720484491264
TNG,2025-08-15,14614.1389269255,18032.6509566157,23.391812865497247,23.145152569914057
SLS,2025-11-17,139784.2037146321,167000.0,19.469865379731058,19.231045059131894
HLB,2025-11-17,344622.33429071517,293249.4,-14.907024060541058,-15.07712496196924
ICN,2025-11-17,36835.79230553943,35093.6646403125,-4.729442632254568,-4.919888524044156
VFG,2025-11-17,62872.62012505242,51549.1561163908,-18.01016720177952,-18.17406491851758
SZB,2025-11-17,33190.1794,33726.9478,1.6172506738544499,1.414117738974184
SMB,2026-02-23,35267.56607684518,38487.1805,9.129108643731026,8.910959501014922
VCP,2026-02-23,24658.963492470433,24700.0,0.16641618996717827,-0.03381652605473642
VHM,2026-02-23,45740.7425,53300.00205,16.52631578947369,16.293379625976495
IDC,2026-05-18,28722.861928223658,37490.4302944972,30.52470324225719,30.263784295246193
NTL,2026-05-18,17854.01203466547,16400.0,-8.143895231180252,-8.327515630518215
TDC,2026-05-18,10332.080820098134,10103.61975,-2.2111816010355594,-2.406661497885063
BFC,2026-05-18,39640.4430075047,59034.2984,48.92441638158199,48.626716398810224
TRC,2026-05-18,61829.356934695206,74007.78,19.696829579139514,19.45755555699233
LHC,2026-05-18,51899.53063855122,47250.0,-8.958714233722818,-9.140705809467496
TNG,2026-05-18,17993.3836564991,18227.7692,1.302620718678671,1.100116729236053
NHH,2026-05-18,11377.032848417808,10550.0,-7.269319333404427,-7.454688010399107
TV1,2026-05-18,28800.0,24800.0,-13.88888888888889,-14.061025043034023
