Ticker,Exit Date,Entry Price,Exit Price,Gross PnL (%),Net PnL (%)
CNG,2023-08-15,20067.1464589419,26462.2294682369,31.868422460460767,31.604817418061053
BSR,2023-08-15,9569.7988316807,11804.6620318936,23.353293413174086,23.106710117995352
DPM,2023-08-15,14851.0231281492,18847.6287406175,26.911314984709573,26.65761920263122
CTI,2023-08-15,11318.18295,15227.27425,34.53815261044177,34.26921077613805
BDT,2023-08-15,15164.0526,18311.3088,20.75471698113206,20.5133282415396
ANV,2023-08-15,15176.6756835994,16374.2282413341,7.890743550834582,7.675069900558068
BMP,2023-08-15,60068.8555787852,66643.6298409084,10.94539624364883,10.723616341112814
NT2,2023-08-15,26638.9070146482,25521.7915591952,-4.193548387096816,-4.385065531750295
PDV,2023-11-15,7916.341270967587,7232.1114812063,-8.64325786800821,-8.825880041185595
CHP,2023-11-15,17100.914490214,17610.303432476,2.978723404257119,2.7728688847083958
PXT,2023-11-15,5600.0,3900.0,-30.357142857142854,-30.496358963375442
SHP,2023-11-15,22389.6509903991,22762.8039909963,1.6666316092073672,1.463399961812669
OCH,2023-11-15,9300.0,7300.0,-21.50537634408602,-21.662287136001886
FPT,2023-11-15,59991.658501312,66762.6675510003,11.286584199935428,11.06412226250428
HAN,2023-11-15,17546.5212546635,10611.0818056432,-39.526008308780895,-39.64689584839352
GAS,2023-11-15,69336.6179945019,68780.1885298101,-0.802504478565599,-1.000800321686907
TDT,2024-02-15,6012.6267592992,6366.3106863168,5.882352941176465,5.670694064732337
FOX,2024-02-15,31188.6679585992,37120.630295823,19.019607843137358,18.781687587578883
DPM,2024-02-15,16105.8951947745,16695.135262876,3.6585365853658076,3.4513231189283067
CNG,2024-02-15,27064.6970393176,27111.0406986315,0.1712328767123201,-0.029009467868804734
CEO,2024-05-16,17078.33828047945,16585.6843796568,-2.8846711707646273,-3.0788047616276732
DCM,2024-05-16,18472.747520964305,31441.3881715068,70.20417853827469,69.86394030031713
CSC,2024-05-16,21465.588747931746,20316.8003443512,-5.351767505986695,-5.540969370042681
OGC,2024-05-16,8728.269916011366,5960.0,-31.716135530286245,-31.852635009486058
POW,2024-05-16,10955.621745394632,9215.849797003,-15.880175391442044,-16.048330962873433
PVT,2024-05-16,12538.63074135925,20030.2162639276,59.74803530864826,59.42869890623219
VGC,2024-05-16,30924.220695327225,47419.5219413382,53.341041019356986,53.034512201727104
VGI,2024-05-16,21736.936646863494,80390.1924,269.8322063776167,269.0929116122442
VSH,2024-05-16,32382.9702566747,43546.6082950992,34.47379270628665,34.2049795274635
TTA,2024-05-16,8106.678194215014,7609.52419,-6.132647581469145,-6.320288465863995
IMP,2024-05-16,29110.30708513181,29392.0265448926,0.9677653311485599,0.7659307177929521
BSR,2024-05-16,11455.591933778891,11597.1239458833,1.2354840581138096,1.0331142748892157
BMP,2024-05-16,70993.1587796403,94178.1200512366,32.65802180117301,32.392838349296625
ANV,2024-05-16,14412.875716894576,14686.8005045721,1.9005560934410435,1.6968568308854466
CHP,2024-05-16,19833.475742629,24791.844678286,24.999999999998735,24.75012493752998
MCO,2024-05-16,11500.0,23200.0,101.7391304347826,101.33585381222431
NT2,2024-05-16,23267.6009397057,20889.7883524632,-10.219414512928177,-10.398885948184683
PAN,2024-05-16,17201.4441947891,17312.900636656,0.6479481641469594,0.4467528654680048
MHC,2024-08-15,8190.4770095238,7238.0959619048,-11.62790697674362,-11.804562834861073
HIO,2024-08-15,28900.0,10100.0,-65.05190311418684,-65.12176437732691
IDJ,2024-08-15,5800.0,5800.0,0.0,-0.19990004997500313
GDA,2024-08-15,16282.165157725,18749.1598785924,15.151515151515005,14.921327215180153
IVS,2024-08-15,11774.4872979566,10191.3629553742,-13.445378151260515,-13.61840088359182
NBC,2024-08-15,10571.8093123552,10110.8905625,-4.359885202588052,-4.5510698398642235
HPX,2024-08-15,6530.0,5000.0,-23.43032159264931,-23.583384418051303
HHV,2024-08-15,11049.5609706831,10229.2781657849,-7.423668750953912,-7.608728883385768
ALV,2024-08-15,4470.586,3411.763,-23.684210526315795,-23.836765827612503
SLS,2024-11-15,129867.97620175224,161455.2096,24.322573063875595,24.074052178190694
AST,2024-11-15,45646.4156186652,41275.7438537554,-9.575060178706785,-9.755819678599405
HII,2024-11-15,5147.196197830253,3934.6011454515,-23.55836081962273,-23.711167694546017
HTP,2024-11-15,6578.202312595988,2900.0,-55.91500744136343,-56.003133363519616
QNS,2024-11-15,38762.9197173445,41435.9541332377,6.8958541703894065,6.682169304481592
PAT,2024-11-15,69245.8279334586,76492.4843450996,10.465116279069745,10.244296456422932
VTO,2024-11-15,11586.9478853964,11290.9309686162,-2.5547445255474424,-2.749537639939148
HCD,2025-02-17,7875.035977992443,6464.0,-17.91783532082546,-18.0819176090397
SZC,2025-02-17,34698.615,41550.8625,19.74789915966388,19.50852304939969
VRE,2025-02-17,17190.4034,15886.63685,-7.584269662921339,-7.769008754049921
SJE,2025-02-17,20992.948552558264,20485.3155,-2.418112211761705,-2.6131784542169476
GHC,2025-02-17,26409.5256,29500.002,11.702127659574465,11.478835050559834
HIO,2025-02-17,10300.0,10500.0,1.9417475728155338,1.7379659684720783
DRI,2025-05-16,7102.741920426355,11378.5748,60.19975000467116,59.879510624351994
BFC,2025-05-16,29468.180424665803,39469.5533487255,33.93956728895359,33.67182202700666
PVD,2025-05-16,18261.62155228561,10956.9755412975,-39.99998570813591,-40.119925766690365
KBC,2025-05-16,30028.15349206075,25850.0,-13.91412060407053,-14.086206320004408
DL1,2025-05-16,4268.510727279478,8272.7281,93.80830056558388,93.42087767589759
LAS,2025-05-16,19846.072548824344,18369.9182,-7.438017497884183,-7.623048947163764
AGG,2025-05-16,19648.569067191213,15900.0,-19.078076649614644,-19.239839614832796
ACV,2025-05-16,64999.34685142534,59059.4004,-9.138470983412793,-9.320103225324996
PLX,2025-05-16,43862.83745825082,33394.345392408,-23.86642696293156,-24.01861801348041
GDA,2025-05-16,19471.041932755845,14846.1583,-23.752625302375176,-23.90504384250035
IDJ,2025-05-16,5876.334082401639,5000.0,-14.912938408761875,-15.083027487405024
HPX,2025-05-16,4642.632622917728,4200.0,-9.534086775092483,-9.714928180839427
HHV,2025-05-16,9476.4741449263,10804.9518287944,14.018691588784268,13.790768167317443
PAT,2025-05-16,77361.699539544,77962.7296,0.7769090700350791,0.575455978440824
QNS,2025-05-16,44236.5300465085,41634.8368918719,-5.881322861221908,-6.069466143858134
NBC,2025-05-16,10374.652925,8704.1579625,-16.101694915254246,-16.26940766904684
IVS,2025-05-16,11180.8156694882,9399.800784083,-15.92920353982301,-16.09726110396129
HTP,2025-05-16,4400.0,1500.0,-65.9090909090909,-65.97723865340058
AST,2025-08-15,43521.2489945667,54144.8098940184,24.410055191150363,24.161359428649334
G36,2025-08-15,6304.1616,11175.5592,77.27272727272727,76.91835900231703
FRT,2025-08-15,130895.24464,135714.2925,3.6816065192083864,3.4743469359616093
MTA,2025-11-17,16335.039667242283,14000.0,-14.294667872309425,-14.465992874063922
NED,2025-11-17,7035.826773688443,6800.0,-3.3517990319254767,-3.5449988339606047
DXS,2025-11-17,12350.0,10200.0,-17.408906882591094,-17.574006519007693
GEX,2025-11-17,37149.4328735542,30333.3212,-18.347821612120573,-18.51104435752363
FIT,2026-02-23,5133.262237601443,4640.0,-9.609137713407058,-9.789829092290802
PDB,2026-02-23,20885.332,20631.664,-1.2145748987854148,-1.41204701293077
