Ticker,Exit Date,Entry Price,Exit Price,Gross PnL (%),Net PnL (%)
HDG,2024-05-16,20044.739792895813,19935.6211945628,-0.5443752299128756,-0.7431870735312415
DPM,2024-05-16,15124.451784305693,17186.1686529606,13.63167999777887,13.404530212675883
HAH,2024-05-16,17194.7910205063,26650.8526582683,54.99375727500737,54.683924676756504
DCM,2024-05-16,18668.054757005466,31441.3881715068,68.42348375750264,68.08680512930174
DHG,2024-05-16,89178.41105593051,93473.1191203464,4.815860715125715,4.606333757174451
PAT,2024-05-16,72045.9024752604,76814.5579633947,6.61891283792551,6.405781577879699
NTC,2024-05-16,195892.937336928,198230.561887488,1.1933174224343648,0.991031930335553
VSH,2024-05-16,43013.3845200572,43546.6082950992,1.2396694214875195,1.0372912717194458
VHM,2024-05-16,20198.148925,19379.630375,-4.052443384982125,-4.244242598605329
PHR,2024-05-16,50024.7784548,56509.4719582,12.962962962962973,12.737149943546767
REE,2024-05-16,36620.5410652447,43786.4970975077,19.56813259393363,19.32911583712417
TNH,2024-05-16,13610.5137240412,14104.1592995245,3.626943005180899,3.4197926943259676
VNM,2024-05-16,57162.6341756867,57559.1944126491,0.6937403124978347,0.49245347529146016
CHP,2024-08-15,19833.475742629,25918.746709117,30.681818181815938,30.42058516196225
DP3,2024-08-15,55081.6787595906,56151.225919971,1.9417475728155404,1.7379659684720876
NET,2024-08-15,90409.580609274,80276.7194008916,-11.207729468599032,-11.385225261765248
AST,2024-11-15,45426.3855406057,41275.7438537554,-9.137072292798045,-9.318707330693487
LBM,2024-11-15,19045.4098860026,23334.9166170843,22.522522522522696,22.277599938769548
NTP,2025-02-17,40780.24092051377,41657.1093319265,2.1502286195951306,1.9460302615349836
PAT,2025-02-17,69245.8279334586,77361.699539544,11.72037630033727,11.497047212280641
PHR,2025-02-17,51043.80171962,54471.402,6.715017621938833,6.50169424838174
DTD,2025-05-16,17852.072428332525,13945.7166859424,-21.881805365020014,-22.037963675134908
GMD,2025-05-16,64602.74721372477,50690.9303479194,-21.534404442246107,-21.691257206979245
LHC,2025-05-16,25646.128959754198,36350.0,41.73679020737636,41.45345829291884
LIX,2025-05-16,31146.60367229777,27708.636665496,-11.038015711034156,-11.215850762086554
NTC,2025-05-16,187281.6230932357,139909.34,-25.294677775006274,-25.44401375146803
DP3,2025-05-16,51694.779418386,50670.5469,-1.9813074548524292,-2.1772468702350154
